id,tweet
1.58E+18,"RT @bero_ari: Inilah toleransi semu ala Anies Baswedan. 
Mencatut nama org dan memalsukan tandatangan utk sbuah Piagam. 
Mohon bantu viralk…"
1.58E+18,The Nex PRESIDENT sukses selalu pak Anies Rasyid Baswedan pemimpin masa depan https://t.co/8EdWfPYw3B
1.58E+18,"Anies Baswedan  - Gubernur DKI Jakarta disambut meriah warga Jakarta untuk perpisahan dalam menunaikan tugasnya selama 5 tahun.
Penyambutan yang meriah sebagai bentuk penghargaan warganya atas kinerja #aniesbaswedan 
#AniesUntukIndonesia dan untuk #Papua https://t.co/j1OBoiD9Sd"
1.58E+18,"@sobat_anies Katong org Timur, khususnya di NTT siap mendukung BPK Anies Baswedan jadi presiden.���"
1.58E+18,"RT @BosPurwa: Sinyal Buat Koalisi #AK24

12 Oktoober 2022
Jenderal Andika Perkasa :
Saya belum pernah ketemu, blm komunikasi

14 Oktober 20…"
1.58E+18,"@BosPurwa Tuh nasiloe makan,,,duitnya anak bini loe di rumah dan kedunguan loe ya!! https://t.co/Pka9TG3Huy"
1.58E+18,@alisyarief Tertarik berkuasa dan memanfaatkan orang yang ambisius tapi ga bisa kerja
1.58E+18,"@detikcom Sebenernya same aje si,dulu ngahok diuber uber sunber waras ampe sewa dukun di kpk. Oposisi = berkuasa."
1.58E+18,Ketua Umum Partai Nasdem Surya Paloh menegaskan bahwa partainya siap menghadapi tantangan berupa fit #berita #menarik https://t.co/sLUyeJ6q1M
1.58E+18,@tvOneNews Awas kena diare lagi om
1.58E+18,"RT @tempodotco: Pemprov DKI berhasil mengatasi masalah transportasi, banjir, dan kemacetan bersama masyarakat, pakar, swasta, dan NGO. Sima…"
1.58E+18,"RT @PiakRaden: Untuk meramaikan Purnatugas Anies Baswedan, keluarga Dinas Penanaman Modal Satu Pintu DKI Jakarta di kerahkan ikut pawai..…"
1.58E+18,"RT @BosPurwa: #IndonesiaMemanggil 
5 Tahun Anies Baswedan memimpin DKI Jakarta dibanding dengan periode sebelumnya maka:

Lebih baik�Retwee…"
1.58E+18,@detikcom Coba tanya balik.... petugas partainya berapa realisasi janji kampanye yg begitu heroik itu?
1.58E+18,RT @BudiWaludin: @surasujaya Walaupun bukan pak Anies Baswedan lagi gubernur DKI tp perbuatan itu sangat tercela siapa yg nyuruh dan aneh d…
1.58E+18,@PiakRaden Biar ramai...��
1.58E+18,@alisyarief Gimana kabar beritanya ijazah palsunya presiden Jokowi kok sudah adem ayem padahal rakyat Indonesia menunggu postingan ijazah palsu milik presiden Jokowi atau jangan2 Ali baba takut masuk hotel � prodeo nemani Bambang Tri apa Ndak kasihan...
1.58E+18,@BosPurwa ��GOOD MORNING..MET PAGI..ZAO AN�� https://t.co/aSRJCxuz5Y
1.58E+18,@Mdy_Asmara1701 Caiirrr... dulu ama PS..  skrg ama AB... maju tak gentar membela yg bayaaaarrr
1.58E+18,RT @aLy_Bima: Video ini hanya untuk orang yang belum tahu prestasi gubernur DKI jakarta bang anies baswedan � https://t.co/iO8tYUlXtu
1.58E+18,"RT @detikcom: #Foto Gubernur DKI Jakarta Anies Baswedan menghadiri acara perpisahannya di Balai Kota, Jakarta. Di atas panggung, Anies meny…"
1.58E+18,"RT @BosPurwa: #IndonesiaMemanggil 
5 Tahun Anies Baswedan memimpin DKI Jakarta dibanding dengan periode sebelumnya maka:

Lebih baik�Retwee…"
1.58E+18,"Gelar Acara Dukungan, Warga Jateng Ingin Merasakan Dipimpin Anies Baswedan |
Jokowi Gubernur Cebong Wuhan Rektor Ferdy Sambo Amanda Zahra Gavi Semoga 2025 World War #IndonesiaMemanggil #BallonDor #2024GoodbyePDIP #JKWIngkarJanji #AniesPresiden2024  https://t.co/zeMDR1rdY8"
1.58E+18,RT @asboediono_id: Orang ini nampaknya lupa kalau Jakarta itu sudah berubah dibandingkan Jakarta sebelum diubah oleh sebuah Kenyataan Nyata…
1.58E+18,"RT @ridhorahadi: @M45Broo_ Abaikan cebong kupret BuzzeRp biar berobat ke RS ODGJ dulu, fokus mengawal pak Anies Baswedan menuju istana deng…"
1.58E+18,"RT @machbeach: Jogja, kandang Ganjar sdh tergerus oleh Anies Baswedan https://t.co/J1mXkF35Ex"
1.58E+18,I'm so proud of the former governor Anies Baswedan!! Thanks for your hard work. �� https://t.co/iklovM5T2N
1.58E+18,"RT @SuwandaBen: @Dj_Bams74 @Asepbar84011121 Burhanuddin Muhtadi, M.A., Ph.D
Direktur Eksekutif IPI

Kalau teori pendulum itu berlaku sampai…"
1.58E+18,@ShamsiAli2 @MS_Didu @ReflyHZ Maklum aja dua-duanya Pecatan mau gimana lagi
1.58E+18,RT @kba_news: Aktivis: Anies Baswedan Jadikan Jakarta Maju seperti Kota di Eropa https://t.co/7ClSZ04jcN
1.58E+18,"@AntiCokroTV_ @ajengcute16__ Cukup Jakarta saja,di Jakarta saja jarang yang menyapa atau meminta foto"
1.58E+18,"RT @BosPurwa: #IndonesiaMemanggil 
5 Tahun Anies Baswedan memimpin DKI Jakarta dibanding dengan periode sebelumnya maka:

Lebih baik�Retwee…"
1.58E+18,@Iriandi19 @kurawa itu sih cm alasan krn FAKTANYA tidak ada satupun masjid yg dibangun... masa kalah sm gubernur kafir siiiih.. hadeuuh �
1.58E+18,@democrazymedia https://t.co/0IsS4NY2Rm
1.58E+18,@HelmiFelis_ Tq..pak heru menbuka meja pengaduan kayak ahok lagi..kami selama ini byk ditindas&amp;terzolimi ama si arab yaman ini..tq
1.58E+18,RT @aLy_Bima: Video ini hanya untuk orang yang belum tahu prestasi gubernur DKI jakarta bang anies baswedan � https://t.co/iO8tYUlXtu
1.58E+18,"RT @tempodotco: Setelah 40 tahun, Gereja GPIB Pelita Jakarta akhirnya mendapat Bantuan Operasional Tempat Ibadah (BOTI) di bawah kepemimpin…"
